30,0.0656502,5,1
31,0.0660267,5,1
32,0.0650114,5,1
33,0.0650657,5,1
34,0.063546,5,1
35,0.0631332,5,1
36,0.0650368,5,1
37,0.0661278,5,1
38,0.0656036,5,1
39,0.065524,5,1
40,0.0643059,5,1
41,0.0648152,5,1
42,0.0640738,5,1
43,0.0632885,5,1
44,0.0621926,5,1
45,0.0609255,5,1
46,0.0600191,5,1
47,0.0558107,5,1
48,0.04795,5,1
30,0.0401301,4,1
31,0.0384514,4,1
32,0.047212,4,1
33,0.0427389,4,1
34,0.0383709,4,1
35,0.0369256,4,1
36,0.0377252,4,1
37,0.0400822,4,1
38,0.0414575,4,1
39,0.0353209,4,1
40,0.0435151,4,1
41,0.043774,4,1
42,0.0387373,4,1
43,0.0351816,4,1
44,0.0353925,4,1
45,0.0390792,4,1
46,0.0361304,4,1
47,0.038339,4,1
48,0.05,4,1
30,0.0621348,6,1
31,0.0646502,6,1
32,0.0641751,6,1
33,0.0643044,6,1
34,0.0625962,6,1
35,0.0616822,6,1
36,0.0636712,6,1
37,0.0653732,6,1
38,0.0649838,6,1
39,0.0646347,6,1
40,0.0640542,6,1
41,0.0645633,6,1
42,0.0639858,6,1
43,0.0625665,6,1
44,0.0631438,6,1
45,0.0647983,6,1
46,0.0657386,6,1
47,0.060951,6,1
48,0.0588,6,1
30,0.0566676,9,2
31,0.0554389,9,2
32,0.0653046,9,2
33,0.0602271,9,2
34,0.0452177,9,2
35,0.0374524,9,2
36,0.0354812,9,2
37,0.0359518,9,2
38,0.0370074,9,2
39,0.0284126,9,2
40,0.0624993,9,2
41,0.0556698,9,2
42,0.0415187,9,2
43,0.0350118,9,2
44,0.0320772,9,2
45,0.0328881,9,2
46,0.0277572,9,2
47,0.0472647,9,2
48,0.04023,9,2
30,0.0332001,7,2
31,0.0294548,7,2
32,0.0499888,7,2
33,0.0513536,7,2
34,0.0522722,7,2
35,0.0519824,7,2
36,0.0530474,7,2
37,0.0555409,7,2
38,0.0566616,7,2
39,0.0485595,7,2
40,0.0591661,7,2
41,0.0595758,7,2
42,0.0587853,7,2
43,0.0553417,7,2
44,0.0546887,7,2
45,0.0575313,7,2
46,0.053908,7,2
47,0.0626563,7,2
48,0.056214,7,2
30,0.0497695,11,2
31,0.0483524,11,2
32,0.0648137,11,2
33,0.0648202,11,2
34,0.0640201,11,2
35,0.0615395,11,2
36,0.0621394,11,2
37,0.0635483,11,2
38,0.0638654,11,2
39,0.0580094,11,2
40,0.0655163,11,2
41,0.0650909,11,2
42,0.0646806,11,2
43,0.0634556,11,2
44,0.0625682,11,2
45,0.0633829,11,2
46,0.061283,11,2
47,0.0653063,11,2
48,0.061,11,2
